FID,OBJECTID,Id,Shape_Leng,Shape_Area,FID_,V2,V1,V5,V3,V4,H2c,H2b,H2a,H1,RiskScore,RiskLevel,Longitude,Latitude,V6,建筑_1
0,1,6,0.000447599159882,7.196707e-09,0,1.0,1,4,3.0,2.0,1.0,4.0,4.0,3.0,3.2994080000000006,中等,120.545733932,27.5951494868,2.0, 
1,2,0,0.00135666203418,7.4745231e-08,1,1.0,1,1,4.0,4.0,2.0,3.0,4.0,3.0,3.035845,中等,120.544602036,27.5947942958,3.0, 
2,3,6,0.0100689189892,8.52587675e-07,2,2.0,1,4,4.0,4.0,1.0,3.0,4.0,3.0,3.1585230000000006,中等,120.546946114,27.593802603,3.0, 
3,4,0,0.00127257330978,7.4412596e-08,3,1.0,1,1,3.0,4.0,3.0,3.0,4.0,3.0,2.994248,中等,120.544402616,27.5945808422,1.0, 
4,5,6,0.000288208668211,5.048399e-09,4,1.0,1,4,4.0,2.0,5.0,4.0,4.0,3.0,3.8125240000000007,高,120.547484357,27.5946439684,3.0, 
5,6,1,0.00522510961049,1.203039799e-06,5,2.0,3,3,4.0,4.0,1.0,4.0,4.0,3.0,3.3934450000000003,中等,120.545499996,27.5936605636,1.0, 
6,7,6,0.000949602837689,3.4004599e-08,6,1.0,1,4,3.0,4.0,4.0,4.0,4.0,3.0,3.7239710000000006,高,120.546450233,27.5945144539,3.0, 
7,8,0,0.000897748649982,4.3688621e-08,7,1.0,1,1,3.0,5.0,5.0,3.0,4.0,3.0,3.276431,中等,120.544095825,27.5944132626,2.0, 
8,9,1,0.00264952045345,3.05963342e-07,8,1.0,3,3,3.0,4.0,3.0,3.0,4.0,3.0,3.1920979999999997,中等,120.54425651,27.5939453871,2.0, 
9,10,0,0.000305393518315,5.433319e-09,9,1.0,1,1,2.0,5.0,4.0,4.0,4.0,3.0,3.4962200000000005,中等,120.544001839,27.5942955309,3.0, 
10,11,0,0.0003132344027,5.956119e-09,10,1.0,1,1,5.0,5.0,4.0,3.0,4.0,3.0,3.2719319999999996,中等,120.543770834,27.5941181877,1.0, 
11,12,6,0.000271310001714,3.815462e-09,11,2.0,1,4,5.0,2.0,1.0,3.0,4.0,3.0,3.1451890000000002,中等,120.547034535,27.5939367564,3.0, 
12,13,3,0.00586244778732,6.0738929e-07,12,2.0,3,3,4.0,4.0,4.0,3.0,4.0,3.0,3.423526,中等,120.548479828,27.5933674213,3.0, 
13,14,1,0.00125122856789,6.5245606e-08,13,2.0,3,3,4.0,4.0,3.0,3.0,4.0,3.0,3.3216390000000002,中等,120.543802604,27.593543225,3.0, 
14,15,1,0.00314586520689,5.46476014e-07,14,2.0,3,3,4.0,4.0,2.0,3.0,4.0,3.0,3.219752,中等,120.544633509,27.5933072507,3.0, 
15,16,0,0.0002650396528,4.264924e-09,15,2.0,1,1,2.0,5.0,3.0,4.0,4.0,2.0,3.3590650000000006,中等,120.549591887,27.5935824499,3.0, 
16,17,1,0.00116549920499,3.5174659e-08,16,2.0,3,3,4.0,4.0,2.0,3.0,4.0,3.0,3.181836,中等,120.543455421,27.5933773394,2.0, 
17,18,3,0.00417738053559,3.36343186e-07,17,2.0,3,3,4.0,4.0,2.0,3.0,4.0,3.0,3.219752,中等,120.549652811,27.5926044127,3.0, 
